"Item_Code";"Item_Name";"Item_cls";"Section_Cls";"Group_Cls";"External_Description";"MakeOrBuy_Cls";"Supplier_Code";"Delivery_Lead_Time";"Stock_Control_Cls";"Warehouse_Code";"Location_Code";"Unit_Cls";"Safety_Stock";"Max_Stock";"Min_Stock";"Packing_Type";"Packing_Qty";"UseLot_Cls";"Production_Cls";"Manufacture_Code";"Line_Code";"Thickness";"Width";"Length";"Net_Weight";"FIFO_Cls";"Storage_Type";"Material_Type";"Titik_Bakar";"Shelf_Life_Day";"LastUpdate"
"1121079E";"ESS. CAMOMILLE BLUE (NAT)";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.41";"0";"0";"1121079E-0.1-KG";"0.1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8210";"";"365";"4/5/2021 4:28:00 PM"
"1121083'I";"CARDAMON LEAF OIL EX SYNTHITE <=> 6921055I";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.55";"0";"0";"1121083I- 0.1-KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"1";"F";"";"0310";"NON DG";"365";"4/6/2021 4:45:00 PM"
"1121083I";"CARDAMON LEAF OIL EX SYNTHITE <=> 6921055I";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.55";"0";"0";"1121083I-0.1KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"1";"F";"";"0310";"NON DG";"365";"4/6/2021 4:45:00 PM"
"1121095U";"CHAMOMILE OIL ROMAN ITALY (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"1.65";"0";"0";"1121095U-1-KG";"1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8110";"DG";"365";"4/6/2021 4:41:00 PM"
"1122002I";"CARROT SEED OIL <=> 6921040T";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"1";"0";"0";"1122002I-0.025-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"365";"9/10/2020 5:43:00 AM"
"1123046B";"GRAPEFRUIT OIL FLORIDA WHITE";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1123046B-30-KG";"30";"LI";"P";"";"";"0";"0";"0";"1";"F";"";"0210";"";"365";"12/27/2019 3:20:00 PM"
"1123073C";"GRAPEFRUIT OIL #1816(NAT)";"R";"";"11";"INC-SBFA";"P";"600010";"60";"1";"";"";"KG";"15.8";"0";"0";"1123073C-50-KG";"50";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0100";"DG";"365";"4/6/2021 7:29:00 PM"
"1123083M";"GRAPEFRUIT ESSENCE OIL 3760 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.5";"0";"0";"1123083M-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0100";"DG";"1095";"10/28/2020 6:11:00 PM"
"1123111O";"GRAPEFRUIT OIL (JUICE EXTRACT) NATURAL";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1123111O-0.025 KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"01001";"DG";"180";"10/7/2020 2:18:00 PM"
"1123119W";"QUASSIA SE AC320239 <=> 6923051G";"R";"";"11";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"3.4";"0";"0";"1123119W-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0210";"";"730";"6/21/2020 12:00:00 AM"
"1123125C";"GRAPEFRUIT AROMA 24010 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.3";"0";"0";"1123125C-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"DG";"730";"10/28/2020 6:11:00 PM"
"1123125C";"GRAPEFRUIT AROMA 24010 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.3";"0";"0";"1123125C-15-KG";"15";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"DG";"730";"10/28/2020 6:11:00 PM"
"1125049E";"CORIANDER OIL AT 013 (NAT) (STOP ORDER) CI 6925030N";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1125049E-1-KG";"1";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"0300";"";"545";"12/27/2019 3:20:00 PM"
"1132008T";"CINNAMON BARK OIL ENGLISH SAS (NAT) (STOP ORDER) CI 6932115V";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.1";"0";"0";"1132008T-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0300";"";"365";"1/11/2021 3:00:00 PM"
"1132164T";"SINENSAL 20% EX ORANGE (NAT)";"R";"";"11";"Incoming Date";"P";"600010";"60";"1";"";"";"KG";"0.55";"0";"0";"1132164T-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0100";"";"365";"2/17/2021 4:04:00 AM"
"1132166V";"CINNAMON LEAF OIL NATURAL FTNF";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.2";"0";"0";"1132166V-0.025-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"";"365";"2/11/2021 1:02:00 PM"
"1132166V";"CINNAMON LEAF OIL NATURAL FTNF";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.2";"0";"0";"1132166V-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"";"365";"2/11/2021 1:02:00 PM"
"1132166V";"CINNAMON LEAF OIL NATURAL FTNF";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.2";"0";"0";"1132166V-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"";"365";"2/11/2021 1:02:00 PM"
"1134021I";"CELERY SEED (PFIC02) (NAT) (STOP ORDER) CI 6934004C";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.095";"0";"0";"1134021I-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0300";"";"545";"1/11/2021 3:00:00 PM"
"1195060C";"ROSE OIL BULGALIA (NAT) (STOP ORDER) CI 1101138H";"R";"";"11";"INC-SBFA";"P";"600010";"60";"1";"";"";"KG";"0.41";"0";"0";"1195060C-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"DG";"365";"11/21/2020 5:44:00 AM"
"1195061D";"LAUREL OIL AT 116 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.015";"0";"0";"1195061D-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0.25";"F";"";"0310";"DG";"545";"1/4/2021 1:47:00 PM"
"1201000A";"METHYL P-TERT-BUTYL PHENYLACETATE <=>6974081K<=>6974131I";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"9.7";"0";"0";"1201000A-10-KG";"10";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"365";"7/18/2020 2:42:00 AM"
"1201055C";"3,5-DIMETHYL-1,2-CYCLOPENTANEDIONE";"R";"";"12";"Incoming Date";"P";"600010";"70";"1";"";"";"KG";"0.35";"0";"0";"1201055C-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0112";"NON DG";"365";"3/16/2021 1:21:00 PM"
"1201200R";"DELTA DECENOLACTONE";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1201200R-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0210";"";"240";"1/20/2021 12:50:00 AM"
"1211092O";"ALCOHOL C-10 <=> 6911058G";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"0.03";"0";"0";"1211092O-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0310";"";"730";"1/15/2021 7:18:00 PM"
"1211224Q";"ALDEHYDE C-11 UNDECYLENIC<=>6911025Z";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"28.23";"0";"0";"1211224Q-5-KG";"20";"LI";"P";"FH";"";"0";"0";"0";"1";"F";"";"8310";"";"730";"4/6/2021 7:32:00 PM"
"1211236C";"AMYL CAPROATE (STOP ORDER) CI 6911060I";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1211236C-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0310";"";"730";"12/27/2019 3:20:00 PM"
"1211288C";"2-ACETYL-3.5(3.6)-DIMETHYL PYRAZINE (STOP ORDER) CI 6911089L";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.06";"0";"0";"1211288C-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0310";"";"365";"3/16/2021 1:21:00 PM"
"1211290E";"ALDEHYDE C-9 (STOP ORDER) CI 6911002C";"R";"";"12";"INC-SBFA";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1211290E-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"12/27/2019 3:20:00 PM"
