"PO_No";"Supplier_Code";"Received_Date";"Item_Code";"Item_Description";"Qty_Pack";"Total_Pack";"Qty_Order";"Unit";"Ship_Via";"SLRS";"Jenis_Kemasan";"Last_Update"
"000001";"700060";"1/4/2006 12:00:00 AM";"1191091B";"LIME OIL DISTILLED MEXICAN";"0";"0";"60";"KG";"SEA";"INC-SBFA";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1183011W";"EUCALYPTUS OIL 80/85%";"0";"0";"15";"KG";"SEA";"";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1364157D";"BERGAMOT OIL 719742";"0";"0";"30";"KG";"SEA";"";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1394037C";"LEMON IDENT OIL JS 772541";"0";"0";"15";"KG";"SEA";"";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1912019U";"ISOVALERIC ACID";"0";"0";"2";"KG";"SEA";"";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1264352F";"BENZYL ACETATE ci 1264-263";"0";"0";"200";"KG";"SEA";"INC-SBFA";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1933010W";"STANDARD SUPER CELITE R";"0";"0";"227";"KG";"SEA";"STANDARD SUPER CELITE R";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1934004R";"SELITE 545";"0";"0";"227";"KG";"SEA";"SELITE 545";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1292073K";"LILIAL";"0";"0";"16";"KG";"SEA";"";"";"12/26/2005 12:00:00 AM"
"000001";"700060";"1/4/2006 12:00:00 AM";"1212251S";"ISOBORNYL ISOBUTYRATE";"0";"0";"10";"KG";"SEA";"";"";"12/26/2005 12:00:00 AM"
