"Trade_Code";"Trade_Cls";"TradeExternal_Cls";"Trade_Name";"Contact_Person";"Address1";"Address2";"City";"Postal_Code";"Telephone";"Fax";"Email";"Country_Cls";"Last_Update"
"700130";"100";"V";"TOCHIMOTO TENKAIDO CO.,LTD.";"Mr. Hirayama";"3-21,Suehiro-Cho Kita-Ku,";"Osaka, Japan";"Japan";"";"81631284259";"8163116036";"";"JP";"4/3/2021 10:56:00 AM"
"700140";"100";"V";"GREIF MALAYSIA SDN BHD";"Mr. Shawn";"10, Jalan Kilang,46050";"Petaling Jaya";"Selangor";"";"60377876800";"60377834342";"Eric.Lee@Greif.com";"MY";"4/3/2021 10:56:00 AM"
"700150";"100";"V";"ZHEJIANG CAIYUNJIAN TEA CO.LTD (SO)";"";"No.118 Yayuan STR.Jinhua,";"Zhejiang, China";"China";"";"0563562233";"0563562257";"";"CN";"4/3/2021 10:56:00 AM"
"700160";"100";"V";"FRUTAROM (UK)Ltd.";"Ms. Stevani";"North Gare Seaton Carew";"Hartlepool TS25 2DT UK";"";"";"4401429863555";"4401429867567";"";"UK";"4/3/2021 10:56:00 AM"
"700170";"100";"V";"IFF (GB) LTD";"Ms. Karen Abbott";"UNITED KINGDOM";"Haverhill,Suffolk,Roehampton";"London";"";"01440715235";"01440715183";"karen.abbott@iff.com";"UK";"4/3/2021 10:56:00 AM"
"700180";"100";"V";"CARGILL FLAVOR SYSTEMS";"Ms. Evelyne Melica";"Z.I. du Plan- BP 82067";"06131 Grasse Cedex";"France";"";"33493093023";"33493093017";"Anne_Leletty@cargill.com";"FR";"4/3/2021 10:56:00 AM"
"700192";"102";"V";"INA TRADING CO.,LTD";"Mr. Minoru Ozawa";"Kyodo Bld. (Shinchiyoda)";"3-3-9 Kanda - Kajicho";"";"101-0045";"81332542651";"81332542655";"foods-ina@inatrading.jp";"JP";"4/3/2021 10:56:00 AM"
"700200";"100";"V";"TIANJIN DACALS CHEMICAL CO., LTD.";"Mr. Simon Dong";"508 HONGQI SOUTH ROAD,SUITE405";"TIANJIN 300381, P.R. CHINA";"";"";"001862223927948";"001862223385844";"dongshun02@yahoo.com.cn";"CN";"4/3/2021 10:56:00 AM"
"700210";"100";"V";"FUTURE TRADING (HK) LTD.";"Ms. Shirley Hui";"Room 1608 Dominion Centre";"43-59 Queens Road East";"Hong Kong";"";"58225200630";"85225291418";"info@futuretdg.com";"HK";"4/3/2021 10:56:00 AM"
"700220";"100";"V";"SHANGHAI GIVAUDAN LTD.";"Mr. David  Zhu";"298 Li Shi Zhen  Road";"Pu Dong Zhang Jiang High-Tech";"Shanghai 201203, China";"";"862128931288";"862150801000";"david.zhu@givaudan.com";"CN";"4/3/2021 10:56:00 AM"
"700230";"100";"V";"GIVAUDAN INTERNATIONAL SA (SO) CI 700590";"Mr David .Zhu / Mr. Jackie";"5, Chemin de la Parfumerie,";"CH-1214, Vernier, Switzerland";"";"";"41227809111";"41227809150";"";"CH";"4/3/2021 10:56:00 AM"
"700240";"100";"V";"JOHNSON SCIENTIFIC EQUIPMENT (SO)";"Ms. Liling Chong";"3 UPPER ALJUNIED LINK";"#06-01,JOO SENG WAREHOUSE,BLKB";"SINGAPORE 36790";"";"6562857977";"6562857055";"liling@jsec.com.sg";"SG";"4/3/2021 10:56:00 AM"
"700250";"100";"V";"TAYTONN";"Mr. Riggs Ng";"18 Boon Lay Way";"#07-140 Tradehub 21";"SINGAPORE";"609966";"6568618113";"6568618115";"riggs.ng@taytonn.com";"SG";"4/3/2021 10:56:00 AM"
"700260";"100";"V";"SHANGHAI APPLE FL & FR CO.,LTD";"Mr. Carter He";"No. 28 Wanrong Road";"Shanghai 200072";"China";"";"862166523010";"862166522113";"hechenghao@cnaff.com";"CN";"4/3/2021 10:56:00 AM"
"700270";"100";"V";"THAMMAPORN TECHNOLOGY CO., LTD. (SO)";"Ms. Pavasuth Khuntithong";"81/114 Moo  Lamlukka Road";"Beungkhampoy Pathumthanee";"Thailand";"12150";"6221538190";"6221538190";"pavasuthk@gmail.com";"TH";"4/3/2021 10:56:00 AM"
"700580";"100";"V";"IFF BENICARLO (SPAIN)";"Yolanda Sastriques Tolos";"Avd. Felipe Klein, 2";"12580 Benicarlo, Spain";"";"12580";"34964470200";"34964461689";"novianti.lie@iff.com";"";"4/3/2021 10:56:00 AM"
"700590";"100";"V";"GIVAUDAN SINGAPORE PTE LTD";"Mr. David  Zhu";"1 Woodlands Avenue 8, Singapore";"";"";"738972";"";"";"david.zhu@givaudan.com";"SG";"4/3/2021 10:56:00 AM"
"700600";"100";"V";"ESSEX LABORATORIES INC";"DOUGH WALKER";"PO Box 1195";"Napavine WA 98565 USA";"";"";"";"";"doug.walker@mindspring.com";"US";"4/3/2021 10:56:00 AM"
"700610";"100";"V";"THAI NIKKEN FOODS CO LTD";"Joichiro Koyama";"Amata City Industrial Estate";"7/337 Moo Marbyangporn, Pluakdaeng, Rayon 21140";"";"21140";"6638036385";"6638036386";"thainikken@csloxinfo.com";"TH";"4/3/2021 10:56:00 AM"
"700620";"100";"V";"RENESSENZ LLC";"Mr. Helwin";"601 Crestwood St. Jacksonville, FL 32208";"PO Box 389 (32201-0389)";"";"";"623599255";"623592060";"helwin@pratistaarjana.com";"US";"4/3/2021 10:56:00 AM"
"700630";"100";"V";"ZEON CORPORATION";"Mr. Nobue";"1-6-2 Marunouchi, Chiyoda-ku";"";"Tokyo";"";"813332160542";"813332161303";"";"JP";"4/3/2021 10:56:00 AM"
"700640";"100";"V";"IFF LMR NATURAL";"MS. LAURIE REGAL";"PARC DACTIVITE LES BOIS DE GRASSE";"18-20 AVENUE JOSEPH HONORE ISNARD";"GRASSE, FRANCE";"06130";"33492424632";"";"laurie.regal@iff.com";"";"4/3/2021 10:56:00 AM"
"700650";"100";"V";"PU-JIE AROMA CHEMICALS INTERNATIONAL INC";"Ms. Lillian Yao";"10212 NE 64th, Kirkland, WA 98033";"";"";"";"";"";"lillianyao@oujie.com";"";"4/3/2021 10:56:00 AM"
"700660";"100";"V";"PURIS NATURAL AROMA CHEMICAL LTD";"MR. STEFAN";"P.O. Box 2917, Paarl, 7620, South Africa";"";"";"";"27218724134";"27218720386";"stefan@puris.co.za";"";"4/3/2021 10:56:00 AM"
"700670";"100";"V";"MITSUI BUSSAN CHEMICALS CO., LTD";"Ms. Hiromi Kimura";"3-1, Otemachi 1-Chome, Chiyoda-ku,";"Tokyo, 100-6811 Japan";"";"";"81367595181";"";"h.kimura@mb-chemicals.com";"JP";"4/3/2021 10:56:00 AM"
"700680";"100";"V";"KALPSUTRA CHEMICALS PVT. LTD";"Mr. Kiran Juthani";"103 Manisha heights, Bal Rajeshwar Road,";"Mulund West, Mumbai India";"";"";"912221642085";"912221642086";"kiran@kalpsutra.com";"IN";"4/3/2021 10:56:00 AM"
"700690";"100";"V";"MITSUBISHI CORPORATION";"Mr. Teppei Yokota";"6-3,MARUNOUCHI 2-CHOME, CHIYODA-KU";"TOKYO 100-86";"";"";"0332102121";"0332105583";"";"JP";"4/3/2021 10:56:00 AM"
"700700";"100";"V";"AUGUSTUS OILS LTD";"Mr. Justin Minnington";"Augustus House, Mill Lane, Alton";"Hants GU34 2QG";"";"";"4401420590555";"";"jm@augustus-oils.ltd.uk";"UK";"4/3/2021 10:56:00 AM"
"700710";"100";"V";"EVONIK (SEA) PTE. LTD";"Mr. William Ooi";"3 International Business Part #07-18";"Nordic European Centre Singapore 609927";"";"";"6568096823";"6568096623";"william.ooi@evonik.com";"SG";"4/3/2021 10:56:00 AM"
"700720";"100";"V";"SYMRISE INC";"Ms. Dian Anggraini";"300 NORTH STREET TETERBORO NJ 07608";"";"";"";"2012883200";"9737746";"dian.anggraini@symrise.com";"US";"4/3/2021 10:56:00 AM"
"701030";"100";"V";"IFF(Nederland)B.V-Fragrance ingredients (Hangzhou)";"Amit Ghose";"Zevenheuvelenweg 60";"TILBURG";"Noord-Brabant";"5048";"31134642211";"31134636032";"Amit.Ghose@iff.com";"NL";"4/3/2021 10:56:00 AM"
"701040";"100";"V";"ROBERTET SA";"Natalia Djiauw";"37, avenue Sidi-Brahim BP 52100";"Grasse Cedex";"Grasse";"06131";"330493403366";"330493706809";"natalia.djiauw@robertet.com";"FR";"4/3/2021 10:56:00 AM"
"701050";"100";"V";"CAPUA 1880 ASIA - PACIFIC PTE. LTD";"Mr. Lee Beng Kiat";"6 RAFFLES QUAY";"#33-2, HONG LEONG BUILDING";"";"048581";"6598378911";"";"BengKiat.Lee@webcapua.com";"SG";"4/3/2021 10:56:00 AM"
"800000";"000";"V";"ALAM SUBUR TIRTA KENCANA (SO)~PT.";"Mr. Djoko";"Jl. Daan Mogot km.12, 11740";"Jakarta";"Jakarta";"";"62216192265";"62216190443";"";"ID";"4/3/2021 10:56:00 AM"
"800011";"001";"V";"PT. ALICIA CITRA MANDIRI (SO)";"Bpk. BINTORO";"Jl. Tanjung Kav. MGN 2 T-1";"LIPPO CIKARANG";"BEKASI";"17550";"02189907422";"02189907422";"";"ID";"4/3/2021 10:56:00 AM"
"800021";"001";"V";"PT. ANEKA GLOBAL KEMIKA (SO)";"Ms. Maria";"Komplek Plaza Pacific A4-86";"Kelapa Gading Jakarta-Utara";"JAKARTA";"";"02145846464";"02145840837";"";"ID";"4/3/2021 10:56:00 AM"
